SERVICE,2TSAT,,,,
LINE,8,,,,
DIRECTION,Durham Tech CC,,,,
OPEN DATE,20160806,,,,
CLOSE DATE,20170806,,,,
RTENAME,GoDurham - Lawson St-NCCU-Durham Tech CC,,,,
,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME
TPNAME,,Durham Station ,Lawson St at WG Pearson Cafeteria,Lawson St at Durham Tech,Capps St at S Alston Ave
STOPID,,5774,5111,5316,6398
,,,,,
RUNS,,,,,
,,,,,
1,OUTBOUND,600,609,614,627
2,OUTBOUND,700,709,714,727
3,OUTBOUND,800,809,814,827
4,OUTBOUND,900,909,914,927
5,OUTBOUND,1000,1009,1014,1027
6,OUTBOUND,1100,1109,1114,1127
7,OUTBOUND,1200,1209,1214,1227
8,OUTBOUND,1300,1309,1314,1327
9,OUTBOUND,1400,1409,1414,1427
10,OUTBOUND,1500,1509,1514,1527
11,OUTBOUND,1600,1609,1614,1627
12,OUTBOUND,1700,1709,1714,1727
13,OUTBOUND,1800,1809,1814,1827
14,OUTBOUND,1900,1909,1913,1925
15,OUTBOUND,2000,2009,2013,2025
16,OUTBOUND,2100,2109,2113,2125
17,OUTBOUND,2200,2209,2213,2225
18,OUTBOUND,2300,2309,2313,2325
19,OUTBOUND,2400,2409,2413,2425
