SERVICE,"3TSUN, 4TRSA",,,,
LINE,8,,,,
DIRECTION,Durham Tech CC,,,,
OPEN DATE,20160806,,,,
CLOSE DATE,20170806,,,,
RTENAME,GoDurham - Lawson St-NCCU-Durham Tech CC,,,,
,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME
TPNAME,,Durham Station ,Lawson St at WG Pearson Cafeteria,Lawson St at Durham Tech,Capps St at S Alston Ave
STOPID,,5774,5111,5316,6398
,,,,,
RUNS,,,,,
,,,,,
1,OUTBOUND,700,709,713,725
2,OUTBOUND,800,809,813,825
3,OUTBOUND,900,909,913,925
4,OUTBOUND,1000,1009,1013,1025
5,OUTBOUND,1100,1109,1113,1125
6,OUTBOUND,1200,1209,1213,1225
7,OUTBOUND,1300,1309,1313,1325
8,OUTBOUND,1400,1409,1413,1425
9,OUTBOUND,1500,1509,1513,1525
10,OUTBOUND,1600,1609,1613,1625
11,OUTBOUND,1700,1709,1713,1725
12,OUTBOUND,1800,1809,1813,1825
13,OUTBOUND,1900,1909,1913,1925
14,OUTBOUND,2000,2009,2013,2025
15,OUTBOUND,2100,2109,2113,2125
