SERVICE,1TWKD,,,,
LINE,8,,,,
DIRECTION,Durham Station,,,,
OPEN DATE,20160806,,,,
CLOSE DATE,20170806,,,,
RTENAME,GoDurham - Lawson St-NCCU-Durham Tech CC,,,,
,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME
TPNAME,,Capps St at S Alston Ave,Lawson St at Durham Tech (IB),Lawson St at Merrick St ,Durham Station 
STOPID,,6398,5773,6598,5774
,,,,,
RUNS,,,,,
,,,,,
1,INBOUND,529,535,542,555
2,INBOUND,559,605,612,625
3,INBOUND,629,635,642,655
4,INBOUND,659,705,712,725
5,INBOUND,729,735,742,755
6,INBOUND,759,805,812,825
7,INBOUND,829,835,842,855
8,INBOUND,859,905,912,925
9,INBOUND,929,935,942,955
10,INBOUND,959,1005,1012,1025
11,INBOUND,1029,1035,1042,1055
12,INBOUND,1059,1105,1112,1125
13,INBOUND,1129,1135,1142,1155
14,INBOUND,1159,1205,1212,1225
15,INBOUND,1229,1235,1242,1255
16,INBOUND,1259,1305,1312,1325
17,INBOUND,1329,1335,1342,1355
18,INBOUND,1359,1405,1412,1425
19,INBOUND,1429,1435,1442,1455
20,INBOUND,1459,1505,1512,1525
21,INBOUND,1529,1535,1542,1555
22,INBOUND,1559,1605,1612,1625
23,INBOUND,1629,1635,1642,1655
24,INBOUND,1659,1705,1712,1725
25,INBOUND,1729,1735,1742,1755
26,INBOUND,1759,1805,1812,1825
27,INBOUND,1829,1835,1842,1855
28,INBOUND,1930,1936,1943,1955
29,INBOUND,2030,2036,2043,2055
30,INBOUND,2130,2136,2143,2155
31,INBOUND,2230,2236,2243,2255
32,INBOUND,2330,2336,2343,2355
