SERVICE,1TWKD,,,,
LINE,8,,,,
DIRECTION,Durham Tech CC,,,,
OPEN DATE,20160806,,,,
CLOSE DATE,20170806,,,,
RTENAME,GoDurham - Lawson St-NCCU-Durham Tech CC,,,,
,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME
TPNAME,,Durham Station ,Lawson St at WG Pearson Cafeteria,Lawson St at Durham Tech,Capps St at S Alston Ave
STOPID,,5774,5111,5316,6398
,,,,,
RUNS,,,,,
,,,,,
1,OUTBOUND,600,609,614,627
2,OUTBOUND,630,639,644,657
3,OUTBOUND,700,709,714,727
4,OUTBOUND,730,739,744,757
5,OUTBOUND,800,809,814,827
6,OUTBOUND,830,839,844,857
7,OUTBOUND,900,909,914,927
8,OUTBOUND,930,939,944,957
9,OUTBOUND,1000,1009,1014,1027
10,OUTBOUND,1030,1039,1044,1057
11,OUTBOUND,1100,1109,1114,1127
12,OUTBOUND,1130,1139,1144,1157
13,OUTBOUND,1200,1209,1214,1227
14,OUTBOUND,1230,1239,1244,1257
15,OUTBOUND,1300,1309,1314,1327
16,OUTBOUND,1330,1339,1344,1357
17,OUTBOUND,1400,1409,1414,1427
18,OUTBOUND,1430,1439,1444,1457
19,OUTBOUND,1500,1509,1514,1527
20,OUTBOUND,1530,1539,1544,1557
21,OUTBOUND,1600,1609,1614,1627
22,OUTBOUND,1630,1639,1644,1657
23,OUTBOUND,1700,1709,1714,1727
24,OUTBOUND,1730,1739,1744,1757
25,OUTBOUND,1800,1809,1814,1827
26,OUTBOUND,1830,1839,1844,1857
27,OUTBOUND,1900,1909,1913,1925
28,OUTBOUND,2000,2009,2013,2025
29,OUTBOUND,2100,2109,2113,2125
30,OUTBOUND,2200,2209,2213,2225
31,OUTBOUND,2300,2309,2313,2325
32,OUTBOUND,2400,2409,2413,2425
