SERVICE,"3TSUN, 4TRSA",,,,,
LINE,9,,,,,
DIRECTION,Seven Oaks Road,,,,,
OPEN DATE,20160806,,,,,
CLOSE DATE,20170806,,,,,
RTENAME,GoDurham - Dearborn Dr-North Durham,,,,,
,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,TIME
TPNAME,,Durham Station ,Foushee St at Avondale Dr,Meriwether Dr at Pickwick Tr,New Castle Rd at Wyldewood Rd,Seven Oaks Rd at Riverview Shopping
STOPID,,5774,5596,5499,6603,5127
,,,,,,
RUNS,,,,,,
,,,,,,
1,OUTBOUND,,,,700,711
2,OUTBOUND,700,712,731,744,755
3,OUTBOUND,800,812,831,844,855
4,OUTBOUND,900,912,931,944,955
5,OUTBOUND,1000,1012,1031,1044,1055
6,OUTBOUND,1100,1112,1131,1144,1155
7,OUTBOUND,1200,1212,1231,1244,1255
8,OUTBOUND,1300,1312,1331,1344,1355
9,OUTBOUND,1400,1412,1431,1444,1455
10,OUTBOUND,1500,1512,1531,1544,1555
11,OUTBOUND,1600,1612,1631,1644,1655
12,OUTBOUND,1700,1712,1731,1744,1755
13,OUTBOUND,1800,1812,1831,1844,1855
14,OUTBOUND,1900,1912,1931,1944,1955
15,OUTBOUND,2000,2012,2031,2044,2055
16,OUTBOUND,2100,2112,2131,,
