SERVICE,"3TSUN, 4TRSA",,,,
LINE,9,,,,
DIRECTION,Durham Station,,,,
OPEN DATE,20160806,,,,
CLOSE DATE,20170806,,,,
RTENAME,GoDurham - Dearborn Dr-North Durham,,,,
,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME
TPNAME,,Seven Oaks Rd at Riverview Shopping,Meriwether Dr at Pickwick Tr,Foushee St at Avondale Dr,Durham Station 
STOPID,,5127,5436,5209,5774
,,,,,
RUNS,,,,,
,,,,,
1,INBOUND,,627,641,655
2,INBOUND,711,727,741,755
3,INBOUND,811,827,841,855
4,INBOUND,911,927,941,955
5,INBOUND,1011,1027,1041,1055
6,INBOUND,1111,1127,1141,1155
7,INBOUND,1211,1227,1241,1255
8,INBOUND,1311,1327,1341,1355
9,INBOUND,1411,1427,1441,1455
10,INBOUND,1511,1527,1541,1555
11,INBOUND,1611,1627,1641,1655
12,INBOUND,1711,1727,1741,1755
13,INBOUND,1811,1827,1841,1855
14,INBOUND,1911,1927,1941,1955
15,INBOUND,2011,2027,2041,2055
