SERVICE,1TWKD,,,,,,,,,,,,
LINE,9,,,,,,,,,,,,
DIRECTION,Durham Station,,,,,,,,,,,,
OPEN DATE,20160806,,,,,,,,,,,,
CLOSE DATE,20170806,,,,,,,,,,,,
RTENAME,GoDurham - Dearborn Dr-North Durham,,,,,,,,,,,,
,,,,,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,TIME,,,,,,,
TPNAME,,Seven Oaks Rd at Riverview Shopping,Meriwether Dr at Pickwick Tr,Foushee St at Avondale Dr,Durham Station ,,,,,,,,
STOPID,,5127,5436,5209,5774,,,,,,,,
,,,,,,,,,,,,,
RUNS,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,INBOUND,1911,1927,1941,1955,,,,,,,,
2,INBOUND,2011,2027,2041,2055,,,,,,,,
3,INBOUND,2111,2127,2141,2155,,,,,,,,
4,INBOUND,2211,2227,2241,2255,,,,,,,,
5,INBOUND,2311,2327,2341,2355,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
