SERVICE,1TWKD,,,,,,,,,,,,
LINE,9,,,,,,,,,,,,
DIRECTION,Seven Oaks Road,,,,,,,,,,,,
OPEN DATE,20160806,,,,,,,,,,,,
CLOSE DATE,20170806,,,,,,,,,,,,
RTENAME,GoDurham - Dearborn Dr-North Durham,,,,,,,,,,,,
,,,,,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,TIME,,,,,,,
TPNAME,,Durham Station ,Foushee St at Avondale Dr,Meriwether Dr at Pickwick Tr,New Castle Rd at Wyldewood Rd,Seven Oaks Rd at Riverview Shopping,,,,,,,
STOPID,,5774,5596,5499,6603,5127,,,,,,,
,,,,,,,,,,,,,
RUNS,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,OUTBOUND,,,,1900,1911,,,,,,,
2,OUTBOUND,1900,1912,1931,1944,1955,,,,,,,
3,OUTBOUND,2000,2012,2031,2044,2055,,,,,,,
4,OUTBOUND,2100,2112,2131,2144,2155,,,,,,,
5,OUTBOUND,2200,2212,2231,2244,2255,,,,,,,
6,OUTBOUND,2300,2312,2331,2344,2355,,,,,,,
7,OUTBOUND,2400,2412,2431,,,,,,,,,
,,,,,,,,,,,,,
