SERVICE,2TSAT,,,,,,,,,,,
LINE,9A,,,,,,,,,,,
DIRECTION,Durham Station,,,,,,,,,,,
OPEN DATE,20160806,,,,,,,,,,,
CLOSE DATE,20170806,,,,,,,,,,,
RTENAME,GoDurham - Dearborn Dr-North Durham,,,,,,,,,,,
,,,,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,TIME,,,,,,
TPNAME,,Horton Rd at Guess Rd,New Castle Rd at Wyldewood Rd (IB),Meriwether Dr at Pickwick Tr,Foushee St at Avondale Dr,Durham Station ,,,,,,
STOPID,,6203,6129,5436,5209,5774,,,,,,
,,,,,,,,,,,,
RUNS,,,,,,,,,,,,
,,,,,,,,,,,,
1,INBOUND,,,517,537,555,,,,,,
2,INBOUND,600,603,617,637,655,,,,,,
3,INBOUND,700,703,717,737,755,,,,,,
4,INBOUND,800,803,817,837,855,,,,,,
5,INBOUND,900,903,917,937,955,,,,,,
6,INBOUND,1000,1003,1017,1037,1055,,,,,,
7,INBOUND,1100,1103,1117,1137,1155,,,,,,
8,INBOUND,1200,1203,1217,1237,1255,,,,,,
9,INBOUND,1300,1303,1317,1337,1355,,,,,,
10,INBOUND,1400,1403,1417,1437,1455,,,,,,
11,INBOUND,1500,1503,1517,1537,1555,,,,,,
12,INBOUND,1600,1603,1617,1637,1655,,,,,,
13,INBOUND,1700,1703,1717,1737,1755,,,,,,
14,INBOUND,1800,1803,1817,1837,1855,,,,,,
