SERVICE,2TSAT,,,,,,,,,,,
LINE,9A,,,,,,,,,,,
DIRECTION,Meriwether Drive,,,,,,,,,,,
OPEN DATE,20160806,,,,,,,,,,,
CLOSE DATE,20170806,,,,,,,,,,,
RTENAME,GoDurham - Dearborn Dr-North Durham,,,,,,,,,,,
,,,,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,TIME,,,,,,
TPNAME,,Durham Station ,Foushee St at Avondale Dr,Meriwether Dr at Pickwick Tr,Seven Oaks Rd at Riverview Shopping,Tom Wilkinson Rd at Northern High School,,,,,,
STOPID,,5774,5596,5499,5127,5407,,,,,,
,,,,,,,,,,,,
RUNS,,,,,,,,,,,,
,,,,,,,,,,,,
1,OUTBOUND,630,643,702,714,723,,,,,,
2,OUTBOUND,730,743,802,814,823,,,,,,
3,OUTBOUND,830,843,902,914,923,,,,,,
4,OUTBOUND,930,943,1002,1014,1023,,,,,,
5,OUTBOUND,1030,1043,1102,1114,1123,,,,,,
6,OUTBOUND,1130,1143,1202,1214,1223,,,,,,
7,OUTBOUND,1230,1243,1302,1314,1323,,,,,,
8,OUTBOUND,1330,1343,1402,1414,1423,,,,,,
9,OUTBOUND,1430,1443,1502,1514,1523,,,,,,
10,OUTBOUND,1530,1543,1602,1614,1623,,,,,,
11,OUTBOUND,1630,1643,1702,1714,1723,,,,,,
12,OUTBOUND,1730,1743,1802,1814,1823,,,,,,
13,OUTBOUND,1830,1843,1902,1914,1923,,,,,,
,,,,,,,,,,,,
